University,Course,CourseLink,Logo
NTU,Biological Sciences,http://sbs.ntu.edu.sg/Programmes/Undergraduate/Pages/Home.aspx,NTU.png
NTU,Biological Sciences with a Second Major in Food Science and Technology,http://sbs.ntu.edu.sg/Programmes/Undergraduate/Pages/Home.aspx,NTU.png
NTU,Biological Sciences with a Second Major in Medicinal Chemistry and Pharmacology,http://sbs.ntu.edu.sg/Programmes/Undergraduate/Pages/Home.aspx,NTU.png
NTU,Biological Sciences with a Second Major in Biomedical Structural Biology,http://sbs.ntu.edu.sg/Programmes/Undergraduate/Pages/Home.aspx,NTU.png
NTU,Chemistry & Biological Chemistry,https://spms.ntu.edu.sg/ChemistryandBiologicalChemistry/Undergrads/Pages/Overview.aspx,NTU.png
NTU,Chemistry & Biological Chemistry with Second Major in Business (International Trading),https://spms.ntu.edu.sg/ChemistryandBiologicalChemistry/Undergrads/Pages/Overview.aspx,NTU.png
NTU,Chemistry and Biological Chemistry with Second Major in Environmental Science,https://spms.ntu.edu.sg/ChemistryandBiologicalChemistry/Undergrads/Pages/Overview.aspx,NTU.png
NTU,Chemistry & Biological Chemistry with a Second Major in Food Science and Technology,https://www.ntu.edu.sg/Pages/PageNotFoundError.aspx?requestUrl=https://www.ntu.edu.sg/fst/Pages/fstp.aspx,NTU.png
NTU,Data Science and Artificial Intelligence ,http://scse.ntu.edu.sg/Programmes/CurrentStudents/Undergraduate/Pages/DSAI.aspx,NTU.png
NTU,Environmental Earth Systems Science,http://ase.ntu.edu.sg/Programmes/Undergraduate/Pages/Home.aspx,NTU.png
NTU,Mathematical Sciences,https://spms.ntu.edu.sg/MathematicalSciences/Undergraduate/Pages/Overview.aspx,NTU.png
NTU,Mathematical Sciences with a Minor in Finance,https://spms.ntu.edu.sg/MathematicalSciences/Undergraduate/Pages/Overview.aspx,NTU.png
NTU,Physics / Applied Physics,https://spms.ntu.edu.sg/PhysicsandAppliedPhysics/Undergraduates/Pages/Overview.aspx,NTU.png
NTU,Applied Physics with Second Major in Microelectronics Engineering,https://spms.ntu.edu.sg/PhysicsandAppliedPhysics/Undergraduates/Pages/Overview.aspx,NTU.png
NTU,Economics,http://www.sss.ntu.edu.sg/Programmes/econ/undergraduate/Pages/Home.aspx,NTU.png
NTU,Economics and Data Science,http://www.sss.ntu.edu.sg/Programmes/econ/undergraduate/BSc%20%28Hons%29%20in%20Economics%20and%20Data%20Science/Pages/Home.aspx,NTU.png
NTU,Economics with a Second Major in Business,http://www.sss.ntu.edu.sg/Programmes/econ/undergraduate/BSocSci%20%28Hons%29%20in%20Economics%20with%202nd%20Major%20in%20Business/Pages/Home.aspx,NTU.png
